Class Title,Attribute/Class/Definition/Priority Complete,Description Abbreviation ,Class Matches Library,Attribute Name,Order for Description,"Type (List,MultilineString,Date,Boolean,Integer,Real)","Dimensions (Unit)
AKA Measurement Type",Preferred Unit,"Is Multivalue (True,False)",Description,Default Value,Authorized Values (comma delimited),Authorized Abbreviation (comma delimited),Minimum (inclusive),Maximum (inclusive),"Required (True,False)"
A/C Oil,X,ACOIL,TRUE,A/C Oil Type,1,List,,,FALSE,,,"Mineral, PAG, POE/ESTER, PAO","MNRL, PAG, POE, PAO",,,
A/C Oil,X,ACOIL,TRUE,A/C OIL Viscosity,2,List,,,FALSE,,,"ISO32, ISO46, ISO68, ISO100","ISO32, ISO46, ISO68, ISO100",,,
A/C Oil,X,ACOIL,TRUE,A/C OIL Refrig Compat,,List,,,TRUE,,,"R-12, R134A, R-1234YF","R12, R134A, R1234YF",,,
A/C Refrigerant,,ACRFGT,TRUE,A/C Refridgerant Type,1,List,,,FALSE,,,"R-12, R-134A, R-1234YF","R12, R134A, R1234YF",,,
Abrassion Resistant Sleeve,X,ART,FALSE,Abrassion Sleeve Material Type,1,List,,,FALSE,,,"Corrugated, Expandable, Spiral, WrapAround","CORRUGATE, EXPAND, SPIRAL, WRAPAROUND",,,
Abrassion Resistant Sleeve,X,ART,FALSE,Max Temp,,Real,Temperature,°F,FALSE,,,,,,,
Abrassion Resistant Sleeve,X,ART,FALSE,Sleeve Max ID ,2,Real,Diameter,Inch,FALSE,,,,,,,
Actuator Cable,,ACTRCBL,TRUE,Act. Cab. End 1 Type,,List,,,FALSE,,,,,,,
Actuator Cable,,ACTRCBL,TRUE,Act. Cab. End 2 Type,,List,,,FALSE,,,,,,,
Actuator Cable,X,ACTRCBL,TRUE,Ext Length,,Real,Length,Inch,FALSE,,,,,,,
Actuator Cable,X,ACTRCBL,TRUE,Stroke Length,1,Real,Length,Inch,FALSE,,,,,,,
Air Cleaner,X,AIRCLEANER,TRUE,Dust Capacity,,Real,Mass,Gram,FALSE,,,,,,,TRUE
Air Cleaner,X,AIRCLEANER,TRUE,Element Type,,List,,,FALSE,,,"Single Stage, Dual Stage","SGLSTG, DUALSTG",,,TRUE
Air Cleaner,X,AIRCLEANER,TRUE,Inlet Diameter,,Real,Length,,FALSE,,,,,,,TRUE
Air Cleaner,X,AIRCLEANER,TRUE,Max Air Flow,1,Real,Air Flow,CFM,FALSE,,,,,,,TRUE
Air Cleaner,X,AIRCLEANER,TRUE,Min Air Flow,,Real,Air Flow,CFM,FALSE,,,,,,,TRUE
Air Cleaner,X,AIRCLEANER,TRUE,Outlet Diameter,,Real,Length,,FALSE,,,,,,,TRUE
Air Compressor,X,AIRCOMPR,TRUE,AIR COMPRESSOR Max Flow Rate,2,Real,Volumetric Flow,CFM,FALSE,,,,,,,FALSE
Air Compressor,X,AIRCOMPR,TRUE,Max Pressure,3,Real,Pressure,PSI,FALSE,,,,,,,TRUE
Air Compressor,X,AIRCOMPR,TRUE,AIR COMPRESSOR Power Source,,List,,,FALSE,,,"Electric, Engine, Unpowered","ELEC, ENG, NONPWRD",,,TRUE
Air Compressor,X,AIRCOMPR,TRUE,AIR COMPRESSOR Tank,1,Boolean,,,FALSE,,,"Tank, No Tank","TK, NOTK",,,TRUE
Air Compressor,X,AIRCOMPR,TRUE,Tank Capacity,,Real,Volume,Gallon,FALSE,,,,,,,FALSE
Antenna,2,ANT,TRUE,Antenna Connection Type,,List,,,FALSE,,,"TNCM, NF","TNCM, NF",,,TRUE
Antenna,2,ANT,TRUE,Antenna Gain,,Real,Sound Intensity,dB,FALSE,,,,,,,
Antenna,,ANT,TRUE,Max Frequency,2,,,,,,,,,,,
Antenna,3,ANT,TRUE,Mounting Material Thickness,,Real,Thickness,Inch,FALSE,,,,,,,
Antenna,4,ANT,TRUE,Mounting Hole ID,,Real,Diameter,Inch,FALSE,,,,,,,
Antenna,2,ANT,TRUE,Antenna Type,1,List,,,FALSE,,,"Colinear, Dipole, Monopole, Patch, Phantom, Yagi","COLIN, DIPOLE, MONOPOLE, PATCH, PHM, YAGI",,,
Antifreeze,2,ANTIFRZ,TRUE,Additive Type,2,List,,,FALSE,,,"IAT, OAT, HOAT","IAT, OAT, HOAT",,,TRUE
Antifreeze,2,ANTIFRZ,TRUE,Base Type,1,List,,,FALSE,,,"Ethylene Glycol, Propylene Glycol","ETHYLENEGLYCOL,PROPYLENEGLYCOL",,,TRUE
Audible Device,2,AUDDVC,TRUE,Max Power,,Real,Power,Watt,FALSE,,,"120W, 135W, 220W, NA","120W, 135W, 220W, NA",,,
Audible Device,2,AUDDVC,TRUE,Max Voltage,,Real,Voltage,V,FALSE,,,,,,,TRUE
Audible Device,2,AUDDVC,TRUE,Min Voltage,,Real,Voltage,V,FALSE,,,,,,,TRUE
Audible Device,2,AUDDVC,TRUE,Sensitivity,,List,,,FALSE,,,"82dB, 84dB, 88dB, NA","82dB, 84dB, 88dB, NA",,,
Audible Device,2,AUDDVC,TRUE,Sound Pressure Level,1,Real,Sound Intensity,dB,FALSE,,,"85dBA, 93dBA, 102dBA, 107dBA, 108dBA, 109dBA, 110dBA, 112dBA, NA","85dBA, 93dBA, 102dBA, 107dBA, 108dBA, 109dBA, 110dBA, 112dBA, NA",,,TRUE
Axle,2,AXEL,TRUE,Suspension Type,2,List,,,FALSE,,,"Torsional, Straight, Leafspring, Air","TORNL, STR, LEAFSPR",,,
Axle,2,AXEL,TRUE,Axel GAWR ,1,Real,Weight,Pound,FALSE,,,,0,,,
Axle,2,AXEL,TRUE,No. of Axels,,List,,,FALSE,,,"Single, Tandem, Triple","SNGL, TDM, TPL",,,
Axle,2,AXEL,TRUE,Steerable,,List,,,FALSE,,,"Steer, NonSteerable","STR, NONSTR",,,
Ball Joint,2,BALLJT,TRUE,Ball Joint ID,2,Real,DIAMETER,INCH,FALSE,,,,,,,TRUE
Ball Joint,2,BALLJT,TRUE,Ball Joint Shank Gender,,List,,,FALSE,,,"Male, Female","M, F",,,TRUE
Ball Joint,2,BALLJT,TRUE,Shank Thread Direction,,List,,,FALSE,,,"Right Hand, Left Hand","RH, LH",,,TRUE
Ball Joint,2,BALLJT,TRUE,Shank Thread Size,,List,,,FALSE,,,"6-32, 8-32, 10-24, 10-32, 1_4-20, 1_4-28, 5_16-18, 5_16-24, 3_8-16, 3_8-24, 7_16-14, 7_16-20, 1_2-13, 1_2-20, 5_8-11, 5_8-24, 3_4-10, 3_4-16, 7_8-9, 7_8-14, 1-8, 1-12, 1-14","6-32, 8-32, 10-24, 10-32, 1_4-20, 1_4-28, 5_16-18, 5_16-24, 3_8-16, 3_8-24, 7_16-14, 7_16-20, 1_2-13, 1_2-20, 5_8-11, 5_8-24, 3_4-10, 3_4-16, 7_8-9, 7_8-14, 1-8, 1-12, 1-14",,,TRUE
Ball Joint,2,BALLJT,TRUE,Ball Joint Type,1,List,,,FALSE,,,"Sealed, Serviceable","SLD, SVCE",,,TRUE
Battery,2,BTRY,TRUE,Battery CCA,2,Real,Electric Intensity,A,FALSE,,,,,,,TRUE
Battery,2,BTRY,TRUE,Battery Connector,,List,,,FALSE,,,"TopPost, SidePost","TPOST, SPOST",,,TRUE
Battery,2,BTRY,TRUE,Battery Cranking Amps,,Real,Electric Intensity,A,FALSE,,,,,,,TRUE
Battery,2,BTRY,TRUE,Battery Group Size,3,List,,,FALSE,,,"Grp24, Grp27, Grp31, Grp34, Grp35, Grp51, Grp65, Grp78","GRP24, GRP27, GRP31, GRP34, GRP35, GRP51, GRP65, GRP78",,,TRUE
Battery,2,BTRY,TRUE,Nominal Voltage,1,Real,Voltage,V,FALSE,,,,,,,TRUE
Battery Box,3,BTRYBX,TRUE,Battery Group Size,1,List,,,,,,"Grp24, Grp27, Grp31, Grp34, Grp35, Grp51, Grp65, Grp78","GRP24, GRP27, GRP31, GRP34, GRP35, GRP51, GRP65, GRP78",,,
Battery Cable,2,BTRYCBL,TRUE,Terminal A Size,,List,,,,,,"10, 8, 6, 02500, 03125, 03750, 04375, 05000, 06250, 07500, BLADE, POST",,,,
Battery Cable,2,BTRYCBL,TRUE,Terminal B Size,,List,,,,,,"10, 8, 6, 1/4, 5/16, 3/8, 7/16, 1/2, 5/8, 3/4, BLADE, POST",,,,
Battery Cable,2,BTRYCBL,TRUE,Additional Terminal,,Boolean,,,,,,"ADDITIONAL TERMINAL, NO ADDITIONAL TERMINAL","ADDLTERM, NOTERM",,,
Battery Cable,2,BTRYCBL,TRUE,Length,3,Real,Length,Inch,FALSE,,,,,,,TRUE
Battery Cable,2,BTRYCBL,TRUE,Cable Size,2,List,,,FALSE,,,"20, 18, 16, 14, 12, 10, 8, 6, 4, 2, 1, 0, 00, 000, 0000","20, 18, 16, 14, 12, 10, 8, 6, 4, 2, 1, 0, 00, 000, 0000",,,TRUE
Battery Cable,2,BTRYCBL,TRUE,Insulation Type,,List,,,FALSE,,,"TXL, GXL, SGX, SGR, SGT, SXL","TXL, GXL, SGX, SGR, SGT, SXL",,,
Battery Cable,2,BTRYCBL,TRUE,Polarity,1,List,,,FALSE,,,"Positive, Negative","POS, NEG",,,TRUE
Battery Cable,2,BTRYCBL,TRUE,Protective Covering,,List,,,FALSE,,,"Cover, NoCover","COVER,NOCOVER",,,TRUE
Battery Cable,2,BTRYCBL,TRUE,Terminal A Type,,List,,,FALSE,,,"Straight, Bent, Elbow, Clamp","STRT, BENT, ELB, CLMP",,,TRUE
Battery Cable,2,BTRYCBL,TRUE,Terminal B Type,,List,,,FALSE,,,"Straight, Bent, Elbow, Clamp","STRT, BENT, ELB, CLMP",,,
"Bearing, Ball",2,BBRG,FALSE,Dynamic Load Rating,,Real,Force,Pound,FALSE,,,,,,,TRUE
"Bearing, Ball",2,BBRG,FALSE,ID,,Real,Diameter,Inch,FALSE,,,,,,,TRUE
"Bearing, Ball",2,BBRG,FALSE,Max RPM,,Real,Angular Velocity,RPM,,,,,,,,
"Bearing, Ball",2,BBRG,FALSE,Ball Bearing Mount,,List,,,FALSE,,,"2 bolt flange, 4 bolt flange, pressfit, unmounted","2BOLTFLG, 4BOLTFLG, PLBLK, PRFT, UNMTD",,,TRUE
"Bearing, Ball",2,BBRG,FALSE,OD,,Real,Diameter,Inch,FALSE,,,,,,,TRUE
"Bearing, Ball",2,BBRG,FALSE,Bearing Rows,,Integer,,,FALSE,,,,,1,,TRUE
"Bearing, Ball",2,BBRG,FALSE,Static Load Rating,,Real,Force,Pound,FALSE,,,,,,,FALSE
"Bearing, Ball",2,BBRG,FALSE,Thrust or Rotation,2,List,,,FALSE,,,"Thrust, Rotation","THR, ROT",,,TRUE
"Bearing, Ball",2,BBRG,FALSE,Bearing Trade Name,,List,,,FALSE,,,"52, 52_2Z, 62","52, 52_2Z, 62",,,FALSE
"Bearing, Ball",2,BBRG,FALSE,Ball Bearing Type,1,List,,,FALSE,,,"Deep Groove, Magneto, Angular Contact, Self Aligning, Double Direction, With Alignment Seat, Linear, Pillow Block","DEEPGRV, MGN, ANLRCONT, SELFALIGN, DBLDIR, ALIGNSEAT, LIN, PLBLK",,,FALSE
"Bearing, Bushing",2,"BRG,BSHG",FALSE,Bushing Type,1,List,,,FALSE,,,"Flanged, Radial, Spherical, Thrust, Linear","FLG, RDL, SPHER, THR, LIN",,,
"Bearing, Bushing",2,"BRG,BSHG",FALSE,Bushing Shaft OD,,Real,Diameter,Inch,FALSE,,,,,,,
"Bearing, Bushing",2,"BRG,BSHG",FALSE,Bushing Material,2,List,,,FALSE,,,"Synthetic, Metalic","SYNTH, MET",,,
"Bearing, Bushing",2,"BRG,BSHG",FALSE,Bushing Housing OD,,Real,Diameter,Inch,FALSE,,,,,,,
"Bearing, Bushing",2,"BRG,BSHG",FALSE,Length,,Real,Length,Inch,FALSE,,,,,,,
"Bearing, Linear",2,"BRG,LIN",FALSE,Linear Bearing Material,1,List,,,FALSE,,,"Plastic, Bronze, Ceramic, Graphite, Stainless ","PLSTC, BRZ, CERAMIC, GPH, SST",,,
"Bearing, Linear",2,"BRG,LIN",FALSE,Linear Bearing Types,2,List,,,FALSE,,,"Ball Bearing, Track Roller, Dovetail, Bushing","BBRG, TRKRLR, DVTL, BSHG",,,
"Bearing, Roller",2,"BRG,RLR",FALSE,Roller Bearing Max RPM,,Real,Angular Velocity,RPM,FALSE,,,,,,,
"Bearing, Roller",2,"BRG,RLR",FALSE,Roller Bearing Mount,,List,,,FALSE,,,"2 bolt flange, 4 bolt flange, pillow block, unmounted, Press Fit, N/A","2BOLTFLG, 4BOLTFLG, PLBLK, PRFT, UNMTD, NA",,,TRUE
"Bearing, Roller",2,"BRG,RLR",FALSE,Roller Bearing Thrust/Rotation,2,List,,,FALSE,,,"Thrust, Rotation, N/A","THR, ROT, NA",,,TRUE
"Bearing, Roller",2,"BRG,RLR",FALSE,Roller Bearing Trade Name,,List,,,FALSE,,,"52, 52_2Z, 62, N/A","52, 52_2Z, 62, NA",,,FALSE
"Bearing, Roller",2,"BRG,RLR",FALSE,Roller Bearing Type,1,List,,,FALSE,,,"Cylinderical, Spherical, Tapered, Pillow Block","CYL, SPHER, TP, PLBLK",,,
"Bearing, Roller",2,"BRG,RLR",FALSE,Roller Bearing Shaft OD,,Real,Distance,Inch,FALSE,,,,,,,
"Bearing, Roller",2,"BRG,RLR",FALSE,Roller Bearing Housing ID,,Real,Distance,Inch,FALSE,,,,,,,
"Bearing, Roller",2,"BRG,RLR",FALSE,Radial Dynamic Load,,Real,Force,Pound,FALSE,,,,,,,
"Bearing, Roller",2,"BRG,RLR",FALSE,Radial Static Load,,Real,Force,Pound,FALSE,,,,,,,
"Bearing, Slew",2,"BRG,SLEW",FALSE,Slew Bearing Type,1,List,,,FALSE,,,"Standard, Flanged","STD, FLG",,,
