Library Title,Class Title (Level 1),Class Title (Level 2),Class Title (Level 3),Class Title (Level 4),Class Title (Level 5),Status,Owner,Attribute Count,Reviewed,Description Abbreviation,Comments,Description Template,EXAMPLE TITLE,CHARACTER COUNT,Description Template2
Vermeer Part Library,Fluid/Lubricant,A/C Oil,,,,,Jacob K,3,,ACOil,,"ACOil,A/C Oil Type,A/C OIL Viscosity,A/C OIL Refrig Compat","A/COil,PAG,ISO68",16,"ACOil,A/C Oil Type,A/C OIL Viscosity"
Vermeer Part Library,Fluid/Lubricant,A/C Refrigerant,,,,,Jacob K,1,,ACRFGT,,ACRFGT,"ACRFGT,R1234YF",14,"ACRFGT,A/C Refridgerant Type"
Vermeer Part Library,Mechanical,Air Cleaner,,,,,Jacob K,,,AIRCLEANER,,"AIRCLEANER,Tank Capacity,AIR COMPRESSOR Power Source","AIRCLEANER,1000CFM,DUALSTG",26,"AIRCLEANER,Max Air Flow"
Vermeer Part Library,Mechanical,Air Compressor,,,,,Chris Z,5,,AIRCOMPR,,"AIRCOMPR,Additive Type,Antenna Type,Max Frequency,Mounting Material Thickness","AIRCOMP,120GAL,TANK,36CFM,200PSI",32,"AIRCOMPR,AIR COMPRESSOR Tank,AIR COMPRESSOR Max Flow Rate,Max Pressure"
Vermeer Part Library,Electrical,Antenna,,,,,Chris S,6,,ANT,,"ANT,Sound Pressure Level,Max Power,Base Type,Sensitivity,Min Voltage","ANT,MONOPOLE,50DB,TNCM,.75IN,.25IN",34,"ANT,Antenna Type,Max Frequency"
Vermeer Part Library,Fluid/Lubricant,Antifreeze,,,,,Andrew T,2,,ANTIFRZ,,"ANTIFRZ,Axel GAWR ,Suspension Type","ANTIFR,PROPGLYCOL,HOAT",22,"ANTIFRZ,Base Type,Additive Type"
Vermeer Part Library,Electrical,Audible Device,,,,,Chris S,5,,AUDDVC,,"AUDDVC,Shank Thread Direction,Ball Joint ID-Steerable,No. of Axels","AUDDEV,112DBA",13,"AUDDVC,Sound Pressure Level"
Vermeer Part Library,Mechanical,Axle,,,,,Nick M,3,,AXLE,,#REF!,"AXLE,20K,STRT,3,NSTR",20,AXLE
Vermeer Part Library,Mechanical,Ball Joint,,,,,Jacob K,0,,BALLJT,,#REF!,"BALJT,1.00IN,M,7_16-14,RH,SVCE",30,"BALLJT,Ball Joint Type,Ball Joint ID"
Vermeer Part Library,Electrical,Battery,,,,,Chris S,5,,BTRY,,"BTRY,Insulation Type,Terminal B Size,Cable Size,Additional Terminal","BTRY,GRP75,1000CCA,12V,SIDEPOST",31,"BTRY,Nominal Voltage,Battery CCA,Battery Group Size"
Vermeer Part Library,Electrical,Battery Cable,,,,,Chris S,5,,BTRYCBL,,"BTRYCBL,Ball Bearing Mount,ID,Dynamic Load Rating","BTRYCBL,POS,0000,100""",21,"BTRYCBL,Polarity,Cable Size,Length"
Vermeer Part Library,Mechanical,Bearing,Ball,,,MODIFIED,Andrew T,10,,BBRG,,"BBRG,Linear Bearing Types,Thrust or Rotation,Ball Bearing Type","BBRG,SELFALIGN,3.5IN,1.0IN",26,"BBRG,Ball Bearing Type,Thrust or Rotation"
Vermeer Part Library,Mechanical,Bearing,Bushing,,,MODIFIED,Andrew T,0,,"BRG,BSHG",,"BRG,BSHG,Roller Bearing Max RPM,Roller Bearing Thrust/Rotation,Roller Bearing Mount","BRG,BSHG,SPHER,SYNTH,1.0INSFT",29,"BRG,BSHG,Bushing Type,Bushing Material"
Vermeer Part Library,Mechanical,Bearing,Linear,,,MODIFIED,Andrew T,0,,"BRG,LIN",,"BRG,LIN,Maximum Temperature Rating,Minimum Vacuum Rating","BRG,LIN,CERAMIC,TRKRLR",22,"BRG,LIN,Linear Bearing Material,Linear Bearing Types"
Vermeer Part Library,Mechanical,Bearing,Roller,,,MODIFIED,Andrew T,0,,"BRG,RLR",,"BRG,RLR,Max Output Pressure ,Centrifugal Pump Self Priming","BRG,RLR,PLBLK,1.0INSFT",22,"BRG,RLR,Roller Bearing Type,Roller Bearing Thrust/Rotation"
Vermeer Part Library,Mechanical,Bearing,Slew,,,MODIFIED,Andrew T,0,,"BRG,SLEW",,#REF!,"BRG,SLEW,FLG,INTLTEETH",22,"BRG,SLEW,Slew Bearing Type,Sealed"
Vermeer Part Library,Mechanical,Belt,Baler,,,,Erin Z,3,,"BLT,BALER",,"BLT,BALER,Roller Bearing Housing ID,Roller Bearing Shaft OD","BLT,BALER,6.8IN,424IN,3PLY,ENDLESS",34,"BLT,BALER,Width,Length,Baler Belt Ply,Bailer Belt Splice Type"
Vermeer Part Library,Mechanical,Belt,Conveyor Belt,,,,Erin Z,3,,"BLT,CNVR",,"BLT,CNVR,Slew Bearing Type,Radial Static Load","BELT,CNVR,MULTICHVRN,1000IN",27,"BLT,CNVR"
Vermeer Part Library,Mechanical,Belt,Drive Belt,,,,Erin Z,4,,"BLT,DR",,"BLT,DR,Max Load,Slew Bearing ID,Slew Bearing OD","BELT,DR,TOOTH,3V,36IN",21,"BLT,DR"
Vermeer Part Library,Mechanical,Blower,,,,,Chris Z,4,,BLO,,"BLO,Width,Conveyor Belt Type,Length,Width","BLO,3244CFM,3000RPM,10PSI,16INHG",32,"BLO,Blower Max Flow"
Vermeer Part Library,Mechanical,Brake,,,,,Nick M,0,,BRAKE,,#REF!,"BRAKE,PRKG, ",12,"BRAKE,Brake Type"
Vermeer Part Library,Mechanical ,Cab,,,,,Erin Z,0,,CAB,,CAB,"CAB,",4,CAB
Vermeer Part Library,Mechanical,Caster,,,,,Jacob K,,,CASTER,,"CASTER,Brake Type,Pressure,Max Pressure Rating,Sleeve ID ","CASTER,SWVL,BOLTON,SEMIPNEU,DIA10.0IN",37,"CASTER,Caster Type,Caster Wheel Type,Caster Wheel Diameter"
Vermeer Part Library,Mechanical,Chassis,Trailer ,,,,Chris Z,2,,"CHAS,TRLR",,"CHAS,TRLR,Cable Tie Mnt Type,Cable Tie Mnt Color","CHAS,TRLR,10K,2AXLE",19,"CHAS,TRLR,GVWR"
Vermeer Part Library,Mechanical,Chassis,Truck,,,,Chris Z,5,,"CHAS,TRK",,"CHAS,TRK,Caster Max Load,Caster Type,Caster Wheel Type","CHAS,TRK,80K,MACK,250IN",23,"CHAS,TRK,GVWR,Truck Manufacturer,Truck Wheelbase"
Vermeer Part Library,Mechanical ,Clamp,,,,,Jacob K,0,,CLAMP,,#REF!,"CLAMP,STDBOLT,Ø10.5-15.0IN",26,"CLAMP,Clamp Type"
